time,RA-stree1_a_c248,RA-stree1_b_c249,RA-stree1_c_c250,RA-stree1_d_c251,RA-stree1_e_c252,RA-stree1_f_c253,RA-stree1_g_c254,RA-stree2_a_c255,RA-stree2_b_c256,RA-stree2_c_c257,RA-stree2_d_c258,RA-stree2_e_c259,RA-stree2_f_c260,RA-stree2_g_c261
2020-02-13 21:42:00-08:00,20.601265683333327,20.474344416666668,22.33394107500001,19.996992325,20.14679084999999,20.248747258333324,20.402457008333336,20.458436441666667,20.587463083333336,20.44636775,20.45383555,20.415048125,20.414411933333326,20.517033258333335
2020-02-13 21:43:00-08:00,20.552897541666667,20.433969833333336,22.266121133333336,20.00514846666667,20.18752724166666,20.283853491666665,20.406992808333328,20.42813191666666,20.571136158333328,20.425395258333328,20.441274266666667,20.417277700000003,20.423151783333328,20.524974533333328
2020-02-13 21:44:00-08:00,20.56463175,20.462722691666674,22.43712097500001,20.01353923333333,20.167048908333335,20.24368495,20.37358735,20.41562458333334,20.569120375,20.43139235,20.44934828333333,20.416489175,20.416983508333328,20.51181266666666
2020-02-13 21:45:00-08:00,20.528148891666657,20.425525191666665,22.20699349166667,20.02289585,20.179765808333343,20.27265784166666,20.38584773333333,20.395646500000005,20.55782218333333,20.41653784166666,20.446425325,20.414218875,20.415878450000005,20.516733325
2020-02-13 21:46:00-08:00,20.534877416666674,20.481018650000014,22.906001141666675,20.064773991666666,20.18042799166667,20.22308398333333,20.32139014166667,20.346749058333327,20.550314733333327,20.425403158333328,20.456612391666667,20.42158044166666,20.418629266666667,20.50737838333333
2020-02-13 21:47:00-08:00,20.498440641666672,20.408134591666666,22.42109196666668,20.012768874999992,20.178962441666666,20.281704666666666,20.391938841666665,20.395368741666665,20.546610733333335,20.40333365,20.437126600000006,20.4106685,20.407174816666668,20.51269255
2020-02-13 21:48:00-08:00,20.526449991666667,20.416573775000003,22.380472433333345,20.004813266666666,20.203125241666672,20.28754525,20.352803416666667,20.362735291666667,20.552235441666664,20.405531591666673,20.4221987,20.399127708333328,20.414384916666666,20.510526375
2020-02-13 21:49:00-08:00,20.528835708333343,20.4103266,22.24488237499999,19.999046566666667,20.162117950000006,20.261950925000004,20.373301975000008,20.404129208333327,20.552515683333322,20.404578266666654,20.418843891666665,20.39484343333334,20.400258933333326,20.500434083333328
2020-02-13 21:50:00-08:00,20.569439733333336,20.43012795,22.06160925,19.968236583333333,20.166642608333333,20.253503975,20.343212424999994,20.411677,20.562510175000003,20.408349750000006,20.40989628333334,20.382622216666668,20.399861816666665,20.495263241666667
2020-02-13 21:51:00-08:00,20.482898499999994,20.401132125,22.48439676666667,20.023000733333333,20.187170633333327,20.260412424999995,20.331551941666657,20.35148060833333,20.532139825000005,20.392045708333328,20.423427508333337,20.395734791666666,20.404584983333343,20.49732045
2020-02-13 21:52:00-08:00,20.51169935833333,20.399335525000005,22.28727165,19.997416341666675,20.16481609166667,20.25334095,20.339793441666668,20.373716108333326,20.538037866666674,20.386701925000008,20.412200833333333,20.388978216666665,20.390635833333334,20.490877775
2020-02-13 21:53:00-08:00,20.546941416666666,20.345580641666672,22.17501588333334,20.005607458333326,20.177286283333334,20.224552283333328,20.319667274999997,20.415415041666666,20.552917949999994,20.372755491666666,20.393407816666667,20.389912341666665,20.397877741666665,20.471304916666675
2020-02-13 21:54:00-08:00,20.498907983333336,20.40666724166667,22.520071383333335,19.972113899999997,20.12367165,20.248722016666665,20.3543772,20.375287533333328,20.525996358333327,20.392596966666666,20.41659905833333,20.37643610833334,20.3796293,20.481749016666665
2020-02-13 21:55:00-08:00,20.451254825,20.343354825,22.495132466666664,20.036837358333333,20.19135008333333,20.2619357,20.317719975,20.320530425,20.510194208333335,20.359287033333327,20.41080463333334,20.38950694166667,20.394628541666666,20.485266141666667
2020-02-13 21:56:00-08:00,20.481624550000006,20.4095004,22.70090528333333,19.987471166666666,20.12916128333333,20.22556535,20.317194516666667,20.33887715833333,20.515066199999996,20.38571105833332,20.420538925000006,20.379259741666672,20.379220608333334,20.47125433333333
