,2013_pv,2013_load,2014_pv,2014_load,2015_pv,2015_load,2017_pv,2017_load
2013-06-13 08:00:00,1008.5436401367188,710.4636461524999,879.7606201171875,685.8433424360833,828.5359497070312,538.7494256385,695.420654296875,760.6006777775
2013-06-13 09:00:00,1383.066162109375,694.5776165893333,1258.9715576171875,752.8892565606666,1179.685302734375,614.1704922884167,1030.1678466796875,641.4898105999999
2013-06-13 10:00:00,1698.58203125,709.2779815539999,1543.874755859375,829.7087553265833,1482.689453125,654.5017893883333,1360.9989013671875,699.3369903331667
2013-06-13 11:00:00,1932.6302490234375,641.5627159,1761.4267578125,922.2173168924999,1705.9815673828125,703.043755574,1562.2396240234375,809.9296791203333
2013-06-13 12:00:00,2073.208251953125,602.9955156,1898.7200927734375,924.8429532830833,1837.1826171875,746.8701800915001,1674.785888671875,852.29414956275
2013-06-13 13:00:00,2049.138427734375,787.3903557726667,1925.607421875,921.1088947705833,1865.420166015625,778.661963211,1675.19140625,816.2966345636665
2013-06-13 14:00:00,1983.3216552734375,752.636947209,1768.753662109375,902.9094990661665,1781.30029296875,725.1991477921666,1609.719482421875,824.1589256077499
2013-06-13 15:00:00,1791.48876953125,781.0048693397499,1601.5885009765625,895.7998549538332,1598.4537353515625,719.6187335997499,1325.9306640625,769.5455448734166
2013-06-13 16:00:00,1439.2198486328125,641.5627159,1367.0635986328125,886.0385644073333,1321.93310546875,715.1642425136666,943.41943359375,641.4898105999999
2013-06-13 17:00:00,1182.7830810546875,602.9955156,1019.0728149414062,854.8625722126667,966.0614624023438,685.2101557398332,791.2833251953125,602.9226103
2013-06-13 18:00:00,659.3330078125,525.8611151,605.7066040039062,777.5541887593333,557.1536865234375,663.0251653964999,438.6590881347656,525.7882098
2013-06-13 19:00:00,182.03292846679688,525.8611151,245.33901977539062,581.2336365678334,154.58908081054688,469.36247137249995,125.12366485595703,525.7882098
2013-06-13 20:00:00,6.9734697341918945,487.29391480000004,9.015507698059082,487.22100950000004,5.199353218078613,410.08660899999995,3.6622352600097656,487.22100950000004
2013-06-13 21:00:00,0.00017924423445947468,487.29391480000004,0.00017924423445947468,487.22100950000004,0.00017924423445947468,410.08660899999995,0.00017924423445947468,487.22100950000004
2013-06-13 22:00:00,0.0001791724207578227,586.8985179318333,0.0001791724207578227,448.65380930000003,0.0001791724207578227,410.08660899999995,0.0001791724207578227,448.65380930000003
2013-06-13 23:00:00,0.00017912329349201173,560.5105015052501,0.00017912329349201173,448.65380930000003,0.00017912329349201173,410.08660899999995,0.00017912329349201173,448.65380930000003
2013-06-14 00:00:00,0.00017910267342813313,563.7357809076667,0.00017910267342813313,410.08660899999995,0.00017910267342813313,410.08660899999995,0.00017910267342813313,448.65380930000003
2013-06-14 01:00:00,0.00017911351460497826,550.0026748298334,0.00017911351460497826,410.08660899999995,0.00017911351460497826,410.08660899999995,0.00017911351460497826,557.3434072494167
2013-06-14 02:00:00,0.00017915424541570246,538.3993728711667,0.00017915424541570246,410.08660899999995,0.00017915424541570246,515.3746603589167,0.00017915424541570246,544.5639360266666
2013-06-14 03:00:00,0.00017921961261890829,529.7613254735834,0.00017921961261890829,410.08660899999995,0.00017921961261890829,503.75734633049996,0.00017921961261890829,534.1309097968334
